,chr,start,end,width,reads,gc,map,cor_gc,copy,valid,ideal,modal_curve,modal_quantile,cor_map,multiplier,state,cell_id,is_low_mappability
771,11.0,1,500000,500000,61,-1.0,0.723066,,,False,False,,,,2,2,SA1015-A95736A-R03-C04,True
772,11.0,500001,1000000,500000,119,0.576436,0.994259,1.05220561704435,2.04417474214029,True,True,113.095765763227,46.0,,2,2,SA1015-A95736A-R03-C04,False
773,11.0,1000001,1500000,500000,109,-1.0,0.887066,,,False,False,,,,2,2,SA1015-A95736A-R03-C04,True
774,11.0,1500001,2000000,500000,139,0.5505800000000001,0.999164,1.330177599403,2.58420541310019,True,True,104.49732431397499,46.0,,2,2,SA1015-A95736A-R03-C04,False
775,11.0,2000001,2500000,500000,122,0.5513979999999999,0.997696,1.16457538526466,2.26248135280195,True,True,104.759212279139,46.0,,2,2,SA1015-A95736A-R03-C04,False
776,11.0,2500001,3000000,500000,92,0.522456,0.998346,0.959370800179138,1.86381970054666,True,True,95.896185273537,46.0,,2,2,SA1015-A95736A-R03-C04,False
777,11.0,3000001,3500000,500000,70,0.496194,0.928286,0.7903214936531291,1.5353987940440903,True,True,88.57155039076142,46.0,,2,2,SA1015-A95736A-R03-C04,False
778,11.0,3500001,4000000,500000,38,0.450204,0.990193,0.491022122363867,0.95393429203299,True,True,77.3895885119417,46.0,,2,2,SA1015-A95736A-R03-C04,False
779,11.0,4000001,4500000,500000,38,0.413222,0.96225,0.5435029713801239,1.05589157516027,True,True,69.9168210681648,46.0,,2,2,SA1015-A95736A-R03-C04,False
780,11.0,4500001,5000000,500000,81,0.38926,0.995042,1.23104310654503,2.3916116623232297,True,True,65.7978583928953,46.0,,2,2,SA1015-A95736A-R03-C04,False
781,11.0,5000001,5500000,500000,121,0.375844,0.989838,1.89833853049616,3.68800129291497,True,True,63.739948410768996,46.0,,2,2,SA1015-A95736A-R03-C04,False
782,11.0,5500001,6000000,500000,68,0.388484,0.990067,1.0354178309438,2.01156023432233,True,True,65.673970418316,46.0,,2,2,SA1015-A95736A-R03-C04,False
783,11.0,6000001,6500000,500000,206,0.430134,0.987761,2.81551087435728,5.469839851025901,True,True,73.16611769330329,46.0,,2,2,SA1015-A95736A-R03-C04,False
784,11.0,6500001,7000000,500000,91,0.413076,0.994087,1.3020460163841,2.52955271924248,True,True,69.8900030067413,46.0,,2,2,SA1015-A95736A-R03-C04,False
785,11.0,7000001,7500000,500000,118,0.386748,0.987841,1.8043095487476497,3.50532628490713,True,True,65.39897773189901,46.0,,2,2,SA1015-A95736A-R03-C04,False
786,11.0,7500001,8000000,500000,82,0.414374,0.980857,1.16927098555322,2.27160374043567,True,True,70.1291668168807,46.0,,2,2,SA1015-A95736A-R03-C04,False
787,11.0,8000001,8500000,500000,106,0.456448,0.993625,1.34543559165892,2.61384791061215,True,True,78.7848936486825,46.0,,2,2,SA1015-A95736A-R03-C04,False
788,11.0,8500001,9000000,500000,84,0.43449,0.997864,1.1343855803753502,2.20383004394635,True,True,74.0488961189066,46.0,,2,2,SA1015-A95736A-R03-C04,False
789,11.0,9000001,9500000,500000,55,0.436122,0.99875,0.739401634851825,1.4364741280388302,True,True,74.3844717235741,46.0,,2,2,SA1015-A95736A-R03-C04,False
790,11.0,9500001,10000000,500000,88,0.413382,0.994417,1.25810917554831,2.4441943265186,True,True,69.9462349614037,46.0,,2,2,SA1015-A95736A-R03-C04,False
791,11.0,10000001,10500000,500000,75,0.399852,0.993149,1.11031378396939,2.15706450932657,True,True,67.5484724073891,46.0,,2,2,SA1015-A95736A-R03-C04,False
792,11.0,10500001,11000000,500000,94,0.429708,0.999395,1.2862476594553,2.4988604270915697,True,True,73.0807938183593,46.0,,2,2,SA1015-A95736A-R03-C04,False
793,11.0,11000001,11500000,500000,410,0.443672,0.997889,5.39677924225395,10.484604565133699,True,False,75.9712379542811,46.0,,2,2,SA1015-A95736A-R03-C04,False
794,11.0,11500001,12000000,500000,76,0.41659,0.998812,1.07738254569937,2.09308727483123,True,True,70.5413321418394,46.0,,2,2,SA1015-A95736A-R03-C04,False
795,11.0,12000001,12500000,500000,90,0.451672,0.997938,1.1580900798323002,2.24988201162267,True,True,77.7141619355144,46.0,,2,2,SA1015-A95736A-R03-C04,False
796,11.0,12500001,13000000,500000,68,0.420734,0.999489,0.953380490017402,1.8521820125018105,True,True,71.3251432266657,46.0,,2,2,SA1015-A95736A-R03-C04,False
797,11.0,13000001,13500000,500000,57,0.415624,0.997172,0.810107146427979,1.5738374138385,True,True,70.3610630412671,46.0,,2,2,SA1015-A95736A-R03-C04,False
798,11.0,13500001,14000000,500000,50,0.401296,0.986925,0.73750950847332,1.43279819541765,True,True,67.7957360895623,46.0,,2,2,SA1015-A95736A-R03-C04,False
799,11.0,14000001,14500000,500000,78,0.413394,0.996991,1.11510703800891,2.16637661399654,True,True,69.9484420251476,46.0,,2,2,SA1015-A95736A-R03-C04,False
800,11.0,14500001,15000000,500000,58,0.387034,0.976228,0.8862528600015749,1.7217696638550202,True,True,65.4440765357834,46.0,,2,2,SA1015-A95736A-R03-C04,False
801,11.0,15000001,15500000,500000,114,0.408532,0.998091,1.65059779255176,3.20670243753756,True,True,69.0658866226644,46.0,,2,2,SA1015-A95736A-R03-C04,False
802,11.0,15500001,16000000,500000,84,0.422996,0.999552,1.1705659635617,2.27411956176726,True,True,71.76015928603609,46.0,,2,2,SA1015-A95736A-R03-C04,False
